
### 场景 THR0（种子数 1；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
| EVT(消融) | 0.0994 | 0.0999 | 0.0872 | 0.1111 | 5 | 3 | 0.126 | 1 | 0 | 0.7 | 0.099 | - |
| PIv b=0.5 | 0.0994 | 0.0999 | 0.0840 | 0.1146 | 5 | 3 | 0.142 | 1 | 0 | 0.3 | 0.099 | - |
| PIv b=1 | 0.0994 | 0.0998 | 0.0868 | 0.1142 | 5 | 3 | 0.181 | 1 | 0 | 0.7 | 0.100 | - |
| PIp b=0.5 | 0.0994 | 0.0999 | 0.0844 | 0.1146 | 5 | 3 | 0.142 | 13 | 14 | 0.0 | 0.100 | - |
| PIp b=1 | 0.0994 | 0.0998 | 0.0868 | 0.1142 | 5 | 3 | 0.181 | 13 | 14 | 0.0 | 0.100 | - |
| WB-PI kP=200 | 0.0994 | 0.0996 | 0.0924 | 0.1059 | 5 | 3 | 0.352 | 51 | 459 | 0.0 | 0.103 | - |
| WB-PI中点 kP=200 | 0.0994 | 0.0996 | 0.0924 | 0.1059 | 5 | 3 | 0.355 | 13 | 452 | 0.0 | 0.103 | - |
| PIpCI b=0.5 | 0.0994 | 0.0999 | 0.0844 | 0.1146 | 5 | 3 | 0.142 | 14 | 14 | 0.0 | 0.100 | - |
| ANCH | 0.0994 | 0.0999 | 0.0872 | 0.1111 | 5 | 3 | 0.126 | 14 | 0 | 17.7 | 0.099 | - |
| TTS | 0.0994 | 0.1000 | 0.0854 | 0.1177 | 5 | 3 | 0.127 | 13 | 14 | 0.0 | 0.100 | - |
| BLEND c=0.25 | 0.0995 | 0.1000 | 0.0806 | 0.1181 | 5 | 3 | 0.120 | 1 | 0 | 0.2 | 0.100 | - |
| M0A cu=.5 | 0.0974 | 0.0983 | 0.0733 | 0.1174 | 5 | 3 | 0.123 | 13 | 0 | 0.0 | 0.098 | - |
| PIpA b=.5 | 0.0980 | 0.0986 | 0.0833 | 0.1132 | 5 | 3 | 0.126 | 13 | 14 | 0.0 | 0.098 | - |

### 场景 LOGs（种子数 5；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| M0(现方案) | 0.1233 | 0.1251 | 0.0069 | 0.2035 | 14 | 6 | 0.654 | 32041 | 0 | 2280.3 | 0.017 | - |
| EVT(消融) | 0.0994 | 0.1000 | 0.0941 | 0.1059 | 5 | 2 | 0.052 | 0 | 0 | 0.0 | 0.101 | - |
| PIv b=0.5 | 0.0994 | 0.0998 | 0.0858 | 0.1111 | 5 | 3 | 0.099 | 0 | 0 | 0.0 | 0.105 | - |
| PIv b=1 | 0.0995 | 0.0998 | 0.0920 | 0.1069 | 5 | 3 | 0.100 | 0 | 0 | 0.0 | 0.108 | - |
| PIp b=0.5 | 0.0994 | 0.0998 | 0.0858 | 0.1111 | 5 | 3 | 0.099 | 0 | 0 | 0.0 | 0.105 | - |
| PIp b=1 | 0.0995 | 0.0998 | 0.0920 | 0.1069 | 5 | 3 | 0.100 | 0 | 0 | 0.0 | 0.108 | - |
| WB-PI kP=200 | 0.0995 | 0.0997 | 0.0948 | 0.1028 | 5 | 2 | 0.150 | 30 | 64 | 0.0 | 0.118 | - |
| WB-PI中点 kP=200 | 0.0995 | 0.0997 | 0.0948 | 0.1028 | 5 | 3 | 0.154 | 0 | 4 | 0.0 | 0.118 | - |
| PIpCI b=0.5 | 0.0994 | 0.0998 | 0.0858 | 0.1111 | 5 | 3 | 0.099 | 0 | 0 | 0.0 | 0.105 | - |
| ANCH | 0.0994 | 0.1000 | 0.0941 | 0.1059 | 5 | 2 | 0.052 | 0 | 0 | 0.0 | 0.101 | - |
| TTS | 0.0995 | 0.0999 | 0.0878 | 0.1174 | 5 | 3 | 0.064 | 0 | 0 | 0.0 | 0.105 | - |
| BLEND c=0.25 | 0.0994 | 0.1002 | 0.0691 | 0.1219 | 5 | 3 | 0.052 | 0 | 0 | 0.0 | 0.100 | - |
| M0A cu=.5 | 0.0897 | 0.0899 | 0.0066 | 0.1726 | 8 | 4 | 0.539 | 16572 | 0 | 563.4 | 0.015 | - |
| PIpA b=.5 | 0.0982 | 0.0990 | 0.0854 | 0.1076 | 5 | 3 | 0.069 | 0 | 0 | 0.0 | 0.101 | - |

### 场景 LOGvs（种子数 5；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| M0(现方案) | 0.1414 | 0.1450 | 0.0000 | 0.2073 | 79 | 30 | 0.534 | 46118 | 0 | 4134.5 | 0.000 | - |
| EVT(消融) | 0.0995 | 0.1000 | 0.0969 | 0.1035 | 5 | 2 | 0.029 | 0 | 0 | 0.0 | 0.102 | - |
| PIv b=0.5 | 0.0998 | 0.1000 | 0.0892 | 0.1069 | 6 | 3 | 0.081 | 0 | 0 | 0.0 | 0.143 | - |
| PIv b=1 | 0.0995 | 0.0998 | 0.0944 | 0.1042 | 5 | 3 | 0.061 | 0 | 0 | 0.0 | 0.127 | - |
| PIp b=0.5 | 0.0998 | 0.1000 | 0.0892 | 0.1069 | 6 | 3 | 0.081 | 0 | 0 | 0.0 | 0.143 | - |
| PIp b=1 | 0.0995 | 0.0998 | 0.0944 | 0.1042 | 5 | 3 | 0.061 | 0 | 0 | 0.0 | 0.127 | - |
| WB-PI kP=200 | 0.0995 | 0.0997 | 0.0955 | 0.1017 | 4 | 2 | 0.083 | 39 | 64 | 0.0 | 0.160 | - |
| WB-PI中点 kP=200 | 0.0994 | 0.0996 | 0.0958 | 0.1017 | 5 | 2 | 0.085 | 0 | 3 | 0.0 | 0.155 | - |
| PIpCI b=0.5 | 0.0998 | 0.1000 | 0.0892 | 0.1069 | 6 | 3 | 0.081 | 0 | 0 | 0.0 | 0.143 | - |
| ANCH | 0.0995 | 0.1000 | 0.0969 | 0.1035 | 5 | 2 | 0.029 | 0 | 0 | 0.0 | 0.102 | - |
| TTS | 0.0994 | 0.0997 | 0.0906 | 0.1170 | 5 | 3 | 0.041 | 0 | 0 | 0.0 | 0.117 | - |
| BLEND c=0.25 | 0.0994 | 0.1001 | 0.0795 | 0.1187 | 5 | 3 | 0.018 | 0 | 0 | 0.0 | 0.101 | - |
| M0A cu=.5 | 0.1032 | 0.1043 | 0.0000 | 0.1809 | 28 | 11 | 0.481 | 33159 | 0 | 2064.8 | 0.000 | - |
| PIpA b=.5 | 0.0985 | 0.0991 | 0.0899 | 0.1056 | 6 | 3 | 0.061 | 0 | 0 | 0.0 | 0.126 | - |

### 场景 STEP（种子数 5；T=105120，w=2880，alpha=0.1，kappa=0.01736）
| 方法 | 长期违约率 | 评估段违约率 | 窗口率min | 窗口率max | 最长连违 | 连违p99 | r标准差 | 状态截断次数 | 输出截断 | Q+/κ | 回声P(O|O_{t-w-1}) | 恢复(天) |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| M0(现方案) | 0.0984 | 0.1008 | 0.0306 | 0.2142 | 6 | 3 | 1.493 | 1275 | 0 | 52.9 | 0.099 | 104.2/120.6 |
| EVT(消融) | 0.0978 | 0.0998 | 0.0469 | 0.1628 | 5 | 3 | 1.418 | 0 | 0 | 0.0 | 0.100 | 43.6/57.1 |
